genes_ens	genes_symb	DMSO_24h_1	DMSO_24h_2	DMSO_24h_3	DMSO_24h_4	Enz_1uM_24h_1	Enz_1uM_24h_2	Enz_1uM_24h_3	Enz_1uM_24h_4	siCon_48h_1	siCon_48h_2	siCon_48h_3	siCon_48h_4	siAR_48h_1	siAR_48h_2	siAR_48h_3	siAR_48h_4
ENSG00000000003	TSPAN6	14.75726486	9.548389336	11.08098772	11.18233298	10.49343311	10.68465248	9.803347515	10.81838894	13.23107847	12.30853546	10.6358796	12.39592402	10.51683559	13.77569793	15.30773483	11.49352252
ENSG00000000419	DPM1	100.2143673	63.94757958	60.62296987	52.47772011	57.26217801	54.66566383	58.07670329	50.35468308	75.77294098	76.99990787	78.21697102	69.29003682	67.63134273	71.68712708	101.6236074	71.78741113
ENSG00000000457	SCYL3	19.86925857	12.17324537	13.30891118	9.773535122	14.07231923	14.03913639	13.7990247	12.65423676	12.6751508	14.42674854	11.45010962	14.85921661	15.31682722	14.64503809	22.41842456	12.68683906
ENSG00000000460	C1ORF112	30.76841497	24.80298744	24.33126934	21.30806756	25.95561103	23.23290713	22.16206998	21.37451391	27.46282674	23.41484187	25.75002429	21.05717862	21.68086107	18.92486657	32.98569958	23.92913704
ENSG00000001036	FUCA2	1.832601519	2.662897424	2.63833041	2.817595711	2.605985043	2.153495848	2.230145406	2.098111795	2.279303434	1.831968068	2.798915684	2.065987336	3.451679374	2.808637442	3.950383183	2.951888297
ENSG00000001084	GCLC	29.03226616	27.99846435	27.08685888	26.76715925	32.73117214	33.29635888	30.19988571	30.22592305	26.0174148	24.2163279	29.51583812	21.29556178	25.8875953	16.18310145	42.5653788	20.41199354
ENSG00000001167	NFYA	29.70743514	29.02558193	26.26604497	26.67910939	28.5268496	29.81763482	31.77957204	28.78347119	27.07367737	23.58658888	25.9535818	26.85783537	37.10555327	31.09562882	46.51576198	31.59148539
ENSG00000001460	STPG1	7.137500651	8.064775057	5.862956467	5.987390885	7.262011653	6.12918049	6.783358944	6.622165353	7.616209034	8.530101318	5.750499496	7.151494626	6.148303884	7.623444484	3.259066126	4.773266182
ENSG00000001461	NIPAL3	67.99916161	71.28956819	71.23492107	69.99964344	72.09891952	77.85715758	71.364653	77.49900443	53.64701984	57.36350014	48.44668602	49.02746872	67.63134273	58.84764163	64.98380336	68.70991057
ENSG00000001497	LAS1L	86.42162951	96.13059702	100.0806669	101.0812461	92.32136345	87.58930228	92.17934346	96.2508786	106.2377771	113.1812772	102.6947609	121.2575644	87.58636411	109.2693709	66.7614758	104.7606315
ENSG00000001561	ENPP4	35.97686139	24.5366977	25.32797194	19.54707024	27.69293439	31.30851656	28.66666074	21.04668394	26.90689907	24.33082591	28.34538247	18.59388603	28.36848985	22.46909953	56.68799868	25.8761272
ENSG00000001617	SEMA3F	13.4069269	19.66739955	17.76475809	24.03761341	24.0793018	21.20365143	22.9983745	28.98016917	16.67783	19.46466073	16.28460034	21.29556178	23.19097079	22.33535489	13.33254324	25.56209653
ENSG00000001629	ANKIB1	43.5966256	31.76456213	34.23966577	28.35205684	35.33715718	39.88108657	35.82171059	33.89761869	34.02277321	34.8646423	42.49262902	26.69891327	41.09655754	29.62443778	57.77435405	32.15674059
ENSG00000001630	CYP51A1	2.121959653	5.516001808	6.214733855	8.804986596	5.420448889	4.555471986	4.785520351	8.261315193	4.836570701	3.778434141	3.206030693	10.96562509	2.804489491	2.139914241	0.987595796	2.575051493
ENSG00000001631	KRIT1	38.48463189	34.31333538	31.71859449	28.79230617	34.64222784	36.81649632	34.98540606	29.11130116	37.52511751	34.69289529	39.54104521	23.83831542	37.15948576	19.45984513	52.93513465	28.45117869
ENSG00000002016	RAD52	10.22398742	8.369106191	7.797732101	6.339590349	9.242560286	8.903877064	10.08211569	9.703767052	8.839249901	9.331587348	10.17787521	8.184488294	7.388751159	7.556572164	9.875957958	11.99597159
ENSG00000002330	BAD	37.61655749	45.72575292	46.37598565	62.69150456	44.68395687	40.41946053	41.72230364	53.2395868	43.86269291	47.40217377	34.50299698	83.67248713	41.3122875	64.26429956	16.39409021	46.28812074
ENSG00000002549	LAP3	129.9218024	106.8582695	110.4580998	108.6535346	102.4325854	99.64059635	101.0999251	104.1187978	122.1929012	114.6125023	110.9388398	117.1255898	115.631259	115.755986	130.1651259	126.55436
ENSG00000002586	CD99	177.2800837	185.0333296	201.0407772	211.1435786	167.9296762	154.2648468	176.8319462	187.3876097	214.7548577	229.8547436	206.5090881	268.4194316	190.112028	223.8885275	111.2032866	241.6151974
ENSG00000002587	HS3ST1	8.680744035	8.597354542	8.970323394	10.21378445	9.381546154	7.785715758	9.524579339	8.523579168	8.116543935	9.503334355	9.71987083	8.740715654	7.820211081	7.422827524	5.925574775	8.101991283
ENSG00000002822	MAD1L1	28.74290803	27.54196765	31.1909284	32.05015121	28.5268496	26.50456428	28.71312211	29.83252709	31.07635657	37.66984341	32.26386443	40.52513622	32.19769666	44.80445443	20.24571381	40.63556868
ENSG00000002834	LASP1	102.4327796	153.61114	147.1015778	163.1564016	197.8463845	202.1801294	192.9075776	213.0239132	149.3221713	151.0801166	137.0959791	160.749707	163.6851078	160.6273127	116.2400252	167.1271225
ENSG00000002919	SNX11	20.35152213	17.99357831	21.34116154	22.80491528	18.31138823	18.22188794	17.05132009	19.99762805	25.016745	26.22004298	24.32512176	26.38106907	18.82243908	22.20161025	15.40649441	18.08816658
ENSG00000003056	M6PR	92.49815033	87.22891134	91.46212088	85.93666918	87.70008331	80.3005471	83.63045274	81.10513408	108.5726733	92.45713845	109.8192736	98.05493743	98.80432207	94.95869446	97.08066673	106.0795603
ENSG00000003096	KLHL13	6.944595228	7.303947221	7.797732101	6.075440751	9.659517892	11.84422716	8.874120263	8.523579168	7.004688601	5.553153207	8.345857676	5.800656752	9.330320807	8.225295365	14.5176582	7.536736077
ENSG00000003147	ICA1	53.14544404	40.85645477	44.79298741	36.01239518	37.87364929	40.21239362	38.14477872	39.99525609	44.14065674	43.28024561	41.57662025	41.00190252	46.22014411	50.35485699	55.6016433	40.44715028
ENSG00000003249	DBNDD1	42.43919306	60.29560597	60.79885856	72.55308955	58.9647549	62.57561974	55.80009652	70.74570709	51.64568024	52.66908196	45.59688096	64.84021794	44.33250695	46.27564547	26.07252901	37.18123131
ENSG00000003393	ALS2	24.69189415	23.81391125	22.80690066	24.5659126	25.64289282	25.63488327	25.04267446	23.34149372	22.8486271	22.26986183	23.96889613	18.03765867	23.83816067	18.32301569	31.70182505	25.37367813
ENSG00000003400	CASP10	0.675168981	0.836910619	1.055332164	1.320747989	0.660182878	1.159574687	1.393840879	0.72122593	1.5010047	1.144980043	1.730238786	1.430298925	1.402244746	2.340531201	1.185114955	1.507347215
ENSG00000003402	CFLAR	19.57990044	20.00977207	15.47820507	15.76092601	18.48512057	23.68845433	18.58454505	18.81744016	16.12190234	12.19403745	12.00989275	13.98514505	13.96851497	11.63578369	15.11021568	13.62893107
ENSG00000003436	TFPI	69.15659415	51.50804447	53.70468124	39.35829008	30.92435584	31.55699685	31.12911296	22.09573984	66.37776341	59.93970524	69.15866208	50.06046238	34.24713129	31.83122434	46.61452156	27.13224988
ENSG00000003509	NDUFAF7	15.04662299	10.6515897	9.556619041	9.509385524	12.0917706	10.47758557	10.26796114	10.09716301	10.45144013	11.90779244	14.0454678	11.6013135	14.18424493	15.71499521	16.69036895	13.62893107
ENSG00000003756	RBM5	75.04020955	77.41423227	77.62554362	73.08138875	86.10174582	87.25799522	84.46675726	74.94193068	66.60013448	72.3627387	74.4511572	62.37692535	72.70099681	80.04616709	69.42798444	76.81190185
ENSG00000003989	SLC7A2	47.93699762	60.10539901	52.7666082	50.71672279	58.99950137	64.0250881	55.52132834	57.56694238	19.40187557	17.23194964	19.03262665	15.65382713	46.8134015	34.0380109	49.08351105	40.32153801
ENSG00000004059	ARF5	106.0015299	101.9889714	124.5878249	135.5087437	102.3630925	94.58816378	113.133418	119.3956743	134.6456809	133.275677	124.0174095	168.0601237	134.6154956	170.92565	79.10642324	138.8643622
ENSG00000004139	SARM1	44.65760543	60.10539901	59.39174901	71.23234156	55.83757285	62.6584465	57.00809195	66.87731347	49.97789724	54.78729504	53.68829176	59.19848329	46.22014411	45.80753923	34.86213159	43.83868151
ENSG00000004142	POLDIP2	214.7037358	227.9440195	247.7099107	249.4452703	229.569909	220.691911	215.7665681	237.9389908	264.5103838	274.9669573	248.1365977	329.3660581	252.5658517	296.6456117	164.4347	287.9661243
ENSG00000004455	AK2	193.0018757	199.146686	206.2588085	186.7537657	190.7581051	186.401631	182.1750029	170.8649793	243.1627614	233.4041817	238.1113906	234.3306406	197.2311167	220.2774222	192.1861419	180.504829
ENSG00000004478	FKBP4	512.8390671	532.883816	540.2714384	527.7708966	510.1823785	487.269849	530.3564544	514.0373898	633.2572052	670.500313	618.7130343	699.2572523	537.2754675	613.0854301	447.3808955	656.4497123
ENSG00000004487	KDM1A	119.2155514	115.1512929	120.8355328	110.9428311	112.6480468	112.7686383	112.4829589	113.9536969	98.12123318	104.2504329	91.49909818	92.41320278	120.2694532	129.7991732	123.3507149	130.5111464
ENSG00000004534	RBM6	70.02466855	64.17582793	60.740229	54.76701663	69.84039915	66.17858394	68.43758716	58.68156427	58.03884841	64.4051274	63.10282633	53.31836549	66.33696296	59.44949251	81.37789357	66.07205294
ENSG00000004660	CAMKK1	29.12871887	33.66663172	33.77062925	41.383437	39.22876151	38.2245513	36.51863103	43.07685779	28.24112547	33.43341725	30.78807252	40.44567516	28.15275989	33.10179842	19.15935844	35.04582276
ENSG00000004700	RECQL	70.69983753	48.5788573	42.9754709	43.67273352	42.6339153	44.27090503	45.2533672	38.48723824	41.02746181	39.33006447	42.79796528	37.02884995	40.12577272	27.28390658	71.40317604	34.22934302
ENSG00000004766	VPS50	21.02669111	18.06966109	20.63760676	17.69802306	18.83258524	18.42895485	19.83900184	15.08017853	20.40254537	20.09439975	24.98668365	16.52789869	20.97973869	22.33535489	37.52864024	21.04005488
ENSG00000004777	ARHGAP33	7.619764209	13.46665269	12.89850423	17.25777373	14.73250211	14.28761668	14.21717697	20.98111795	6.226389868	5.724900214	5.648720744	9.61478722	8.790995905	6.352870404	2.37022991	7.159899273
ENSG00000004779	NDUFAB1	194.8344772	167.3821238	189.8425304	190.4518601	163.7601001	147.017505	159.8270875	151.9164072	226.4849314	228.9960085	227.475511	222.9677102	222.7411846	311.3575221	180.6312711	220.0098873
ENSG00000004838	ZMYND10	2.025506942	3.081352734	3.51777388	2.905645577	3.057689117	2.236322611	2.787681758	2.688205737	1.8345613	1.60297206	1.832017539	2.304370491	4.584261668	3.611105282	2.962787387	5.275715254
ENSG00000004848	ARX	1.157432538	1.597738455	1.817516505	1.937097051	1.945802165	1.987842321	2.230145406	1.704715834	1.056262567	0.457992017	0.966898145	1.191915771	0.916852334	1.404318721	0.493797898	2.072602421
ENSG00000004864	SLC25A13	59.99358656	53.02970014	51.59401691	51.77332118	50.97306744	49.28192421	51.01457617	44.25704568	63.26456848	62.22966532	64.83306512	57.52980122	55.28080247	51.29106947	64.29248631	52.88276481
ENSG00000004866	ST7	89.60456899	77.75660479	85.30601659	78.98072977	76.02527032	75.9935554	79.40246874	68.38533132	98.51038255	103.7924409	110.3790567	89.71152703	108.5661028	107.6644353	112.980959	87.9913937
ENSG00000004897	CDC27	101.5647052	81.33249562	69.06562718	64.01225255	83.07880317	80.71468092	81.58615278	66.22165353	86.66912325	80.09135399	92.00799194	73.18362834	59.81113165	51.89292035	102.3149244	62.93174624
ENSG00000004961	HCCS	38.38817918	34.6937493	35.1777388	31.87405148	32.97439741	32.46809125	29.50296527	27.99667927	41.91694607	39.15831746	41.72928838	40.60459727	38.18420307	47.61309187	43.84925333	39.379446
ENSG00000004975	DVL2	40.79949697	57.3664188	61.91282029	71.23234156	55.83757285	58.59993509	56.0788647	67.40184142	47.36503721	43.85273564	40.66061148	64.84021794	42.9841947	47.88058115	20.93703087	47.60704955
ENSG00000005007	UPF1	90.08683255	132.9927057	129.6299675	158.313659	123.9406486	129.5824713	129.1625881	150.9984833	119.858005	122.1121216	111.905738	153.3598292	114.6604742	98.90416134	62.11977556	120.5877772
ENSG00000005020	SKAP2	58.6432486	48.73102287	42.33054569	40.32683861	46.97722371	48.20517629	47.57643533	45.30610158	49.97789724	39.10106846	51.09293358	42.27327935	50.96620325	35.24171266	65.97139916	42.7081711
ENSG00000005022	SLC25A5	850.8093682	664.2027004	718.3294263	709.8580194	604.2410653	543.8819418	599.0263484	575.8005558	774.6296108	801.8295239	790.5664573	791.432072	703.2796724	808.5532216	686.872876	737.5952374
ENSG00000005059	MCUB	3.279392191	0.951034794	0.762184341	1.144648257	1.146633419	1.615121886	0.975688615	1.376885866	0.722705967	0.858735032	1.221345026	0.794610514	1.941569648	2.474275841	2.468989489	1.758571751
ENSG00000005075	POLR2J	33.95135445	38.99242657	36.35033009	46.40227936	36.83125527	33.83473284	35.03186742	42.15893388	50.86738151	49.06239483	40.76239023	73.02470624	42.39093731	61.92376836	15.30773483	52.00347893
ENSG00000005100	DHX33	45.71858525	60.40973014	55.40493861	49.13182521	51.14679978	58.76558862	55.42840562	57.10798042	55.98191604	56.10402209	55.77475618	51.09345605	50.31901337	45.60692227	49.18227063	51.43822372
ENSG00000005156	LIG3	73.49696617	82.47373737	79.61894882	68.50279572	83.49576077	93.59424262	81.07507779	83.26881187	84.22304151	91.48390541	83.05146175	85.26170815	85.64479446	75.56572164	80.88409568	80.14062695
ENSG00000005175	RPAP3	64.62331671	60.25756457	52.88386733	48.77962574	56.70623453	61.00191123	55.84655788	48.25657129	62.04152761	58.16498617	64.68039699	44.33926668	57.43810208	47.34560259	92.14268775	46.28812074
ENSG00000005187	ACSM3	58.6432486	40.89449616	39.51632659	37.86144236	36.79650881	35.94681531	34.79956061	28.78347119	48.42129977	50.20737487	48.90469041	43.70357827	51.34373068	46.47626243	98.46330084	44.08990605
ENSG00000005189	AC004381.6	32.60101649	31.04177569	35.29499793	32.8426	29.81246889	27.8297925	27.36574259	27.27545334	34.41192257	36.29586735	34.35032885	37.18777206	25.40220289	31.56373506	22.91222246	24.43158612
ENSG00000005194	CIAPIN1	67.0346345	62.19767555	76.80472971	74.7543362	61.46650055	61.084738	62.86222364	63.4678818	74.49430734	73.04972673	74.4511572	78.11021353	63.370676	77.50501893	60.63838186	71.47338046
ENSG00000005206	SPPL2B	23.72736703	33.81879729	31.48407623	48.60352601	38.91604331	35.86398854	36.70447648	43.33912177	26.90689907	27.82301504	27.98915684	48.86854661	27.61343499	32.76743682	10.56727502	24.18036158
ENSG00000005238	FAM214B	17.26503536	19.78152372	24.03812151	24.30176301	19.59700752	17.68351398	17.98054734	18.48961019	18.56798407	21.06763279	17.96394975	21.61340598	17.20446438	20.26231297	10.46851544	20.28638127
ENSG00000005249	PRKAR2B	46.39375423	37.88922621	35.99855271	27.64765791	42.98137997	42.78002329	38.70231507	35.47120254	32.3549902	25.76205096	30.73718315	21.93125019	34.89432117	25.54522625	60.04582438	30.71219951
ENSG00000005302	MSL3	25.07770499	25.52577388	24.85893542	24.91811207	23.24538658	25.22074945	23.60237222	22.75139978	28.40790377	27.42227202	27.32759495	25.3480754	32.08983168	24.00716289	32.09686336	28.45117869
ENSG00000005339	CREBBP	50.63767354	79.31630185	65.60648286	66.30154907	80.36857872	92.22760103	83.25876184	96.31644459	55.03683901	52.21108995	55.82564555	46.96148138	57.00664215	34.57298946	47.4045982	59.03776593
ENSG00000005379	TSPOAP1	1.92905423	2.815062991	2.931478233	3.786144236	3.370407322	3.354483917	3.902754461	5.441977469	1.8345613	1.831968068	2.290021923	3.019519953	2.64269202	2.942382082	1.777672432	4.082398708
ENSG00000005436	GCFC2	65.97365467	43.89976611	41.04069527	38.21364183	34.88545311	37.89324425	38.14477872	32.7829968	51.86805131	47.91741479	55.36764117	44.89549404	35.59544354	31.83122434	68.34162907	34.79459822
ENSG00000005448	WDR54	15.33598113	14.3416047	16.53353724	19.54707024	13.79434749	13.83206949	15.00702013	14.42451859	17.6784998	24.27357691	20.2030823	24.31508173	17.52805932	29.42382082	14.41889862	18.52780952
ENSG00000005469	CROT	44.4647	29.82445115	34.00514751	26.50300965	18.0334165	18.30471471	20.07130866	15.27687651	41.52779671	46.08544672	47.4288985	39.09483729	18.60670912	17.92178177	31.30678673	22.67301436
ENSG00000005483	KMT2E	55.17095098	56.37734261	47.54857695	44.11298285	66.64372416	75.9935554	58.86654645	71.729197	40.52712691	38.12783542	40.30438585	29.95681638	51.7751906	39.58841346	60.53962228	51.31261146
ENSG00000005486	RHBDD2	66.64882365	74.59916927	81.26057663	98.70389974	76.96342493	76.65616951	76.89355515	91.98908902	71.26992688	80.377599	69.15866208	95.19433958	58.84034682	70.61716996	28.73903766	71.59899273
ENSG00000005513	SOX8	6.655237094	7.227864438	7.270066019	7.572288473	7.470490456	8.07560943	6.969204395	8.851409136	5.058941767	4.579920171	4.580043847	5.880117804	6.364033845	9.495869446	2.666508649	6.783062469
ENSG00000005700	IBTK	73.7863243	73.72421726	64.31663244	59.08146006	66.40049889	70.03002844	66.99728491	58.48486629	68.82384514	68.29805955	78.16608165	52.68267708	67.57741024	56.90834435	124.6345894	66.19766521
ENSG00000005801	ZNF195	53.6277076	36.74798446	35.41225706	31.78600161	43.81529519	44.06383812	42.04753318	39.9296901	35.13462854	36.86835738	42.13640339	27.89082904	40.7729626	34.0380109	60.4408627	34.16653688
ENSG00000005810	MYCBP2	133.2011946	150.6819528	132.7373344	132.8672477	106.1504574	129.002684	107.6045159	115.9206767	149.3777641	130.9284679	151.3450044	118.8737329	70.0043723	46.87749635	87.20470877	50.81016238
ENSG00000005812	FBXL3	70.31402669	43.4813108	39.57495615	33.54699893	35.92784712	37.02356323	34.9389447	31.47167693	42.86202311	38.41408043	48.54846477	38.45914888	32.08983168	28.82196994	73.47712721	32.345159
ENSG00000005882	PDK2	17.36148807	26.66701564	31.48407623	33.72309866	28.04039906	31.51558347	32.10480158	34.09431667	31.5210987	31.83044519	31.44963441	32.26118687	34.30106378	43.93511427	18.17176264	31.77990379
ENSG00000005884	ITGA3	3.279392191	4.412801446	5.100772126	5.635191421	5.767913562	6.294834017	7.108588483	5.966505417	2.3348962	3.263193122	3.002473188	3.893591519	4.260666727	4.881679363	2.172710751	3.265918967
ENSG00000005889	ZFX	44.85051085	36.40561193	31.24955797	33.19479947	34.92019958	37.14780338	37.86601054	33.24195875	28.79705314	28.33825606	33.23076258	29.16220586	31.17297934	18.85799425	43.94801291	30.14694431
ENSG00000005893	LAMP2	299.8714801	231.7101173	216.2258345	215.8102215	243.4337495	253.1185889	242.2960061	236.1031429	138.3148035	131.7872029	138.8771073	131.6669622	299.3792532	250.9718171	393.8532034	327.0943457
ENSG00000006007	GDE1	111.3064291	98.18483218	101.0187399	99.14414907	107.7140484	105.5212966	104.7703727	100.9060641	133.7561966	136.1953761	131.3454796	123.720857	114.8222717	110.740562	124.8321086	113.427878
ENSG00000006015	C19ORF60	47.26182864	45.99204266	53.52879254	67.79839679	46.94247724	40.50228729	43.62721951	54.61647267	50.36704661	52.89807797	46.86911536	75.32907673	41.25835501	61.25504516	19.8506755	45.28322259
ENSG00000006042	TMEM98	31.25067853	33.7807559	38.34373529	36.01239518	33.56508735	34.91148077	36.28632422	32.25846885	42.97320864	40.93303653	39.28659833	41.71705199	46.38194158	53.29723907	34.36833369	42.7081711
ENSG00000006047	YBX2	1.543243384	1.179283145	1.524368681	1.672947453	1.598337493	1.200988069	2.415990857	1.376885866	1.445411934	1.88921707	1.119566274	0.953532617	1.132582294	2.474275841	1.086355375	2.323826957
ENSG00000006062	MAP3K14	7.330406074	12.85799042	11.37413555	13.38357963	10.52817957	12.87956171	12.17287701	14.55565058	11.3409244	9.961326372	10.58499022	16.05113238	13.48312255	10.63269889	7.01193015	11.30510412
ENSG00000006071	ABCC8	1.350337961	1.940110981	1.934775634	2.553446113	3.057689117	2.526216283	2.880604483	3.016035705	0.889484267	1.202229045	1.17045565	0.635688411	2.42696206	3.209871362	1.185114955	1.507347215
ENSG00000006118	TMEM132A	103.7831176	139.0412869	143.5251743	208.5020826	153.266667	161.553602	152.207424	206.7295778	94.73007441	96.23557259	83.30590863	172.7483257	125.5548372	143.7754881	46.31824282	134.3423206
ENSG00000006125	AP2B1	261.09749	307.4505283	296.8414859	291.4450563	301.4950962	326.7101682	304.6936161	300.4233827	308.7622261	293.2866379	310.5269728	271.2005684	297.8691434	228.6364622	287.9829341	259.1381088
ENSG00000006194	ZNF263	40.51013883	43.0248141	41.74425004	43.05638445	42.70340824	43.48405078	42.23337863	45.17496959	45.53047591	48.89064782	43.56130592	45.4517214	59.32573923	64.93302276	67.94659075	62.74332784
ENSG00000006282	SPATA20	173.0361644	198.8043134	218.3951284	240.8163834	212.683126	211.24966	220.9702407	231.7102214	177.6744823	187.662229	179.3341613	237.6680047	213.3029988	243.2815003	113.3759974	257.1283125
ENSG00000006327	TNFRSF12A	3.85810846	5.363836241	5.745697337	7.220089009	7.852701596	8.779636919	7.433818021	9.244805097	4.002679201	4.751667177	3.816703205	7.469338832	6.633696296	6.352870404	2.073951171	8.416021952
ENSG00000006432	MAP3K9	10.32044013	16.58604681	17.99927635	14.61627775	17.16475482	20.62386408	19.56023367	19.27640212	16.39986617	16.54496162	16.13193222	14.3824503	20.27861632	16.98556929	16.59160937	17.46010524
ENSG00000006451	RALA	67.70980348	48.35060895	45.9655787	46.84252869	46.59501257	41.78610213	43.20906725	40.978746	58.31681224	57.64974515	57.60677371	55.38435283	48.80890364	46.54313475	63.00861177	53.25960161
ENSG00000006453	BAIAP2L1	85.07129155	86.62024908	86.9476444	88.75426489	87.59584391	87.00951493	86.83628676	83.53107584	83.05559341	94.80434754	80.6087717	82.0832661	87.6402966	81.31674117	83.94564264	91.57134333
ENSG00000006459	KDM7A	10.8991564	13.84706661	11.66728337	11.27038284	14.35029097	15.19871108	13.93840879	14.88348055	18.345613	14.42674854	14.91058719	13.34945664	19.14603403	12.90635777	20.54199255	16.95765617
ENSG00000006468	ETV1	103.1079486	92.89707872	85.59916441	77.74803164	84.53815479	85.76711348	77.07940061	69.49995321	76.66242524	72.82073072	72.72091841	60.31093801	70.27403475	64.59866116	87.50098751	61.04756222
ENSG00000006530	AGK	72.33953363	59.87715066	63.5544481	59.25755979	57.99185382	57.44036041	55.75363516	55.46883058	55.09243177	60.34044825	59.79501689	43.86250037	59.43360421	52.09353731	60.83590102	57.21638805
ENSG00000006534	ALDH3B1	0.868074404	1.978152372	1.641627811	2.201246649	2.883956781	3.147417009	2.555374945	3.343865673	2.1681179	1.946466073	1.730238786	4.211435724	2.58875953	4.212956162	2.37022991	4.710460048
ENSG00000006576	PHTF2	55.94257267	48.38865034	43.03410047	39.27024022	46.31704083	50.19301861	48.08751032	40.12638808	52.86872111	47.97466379	63.00104758	41.95543514	47.08306396	28.82196994	69.72426318	38.56296626
ENSG00000006607	FARP2	59.511323	74.9415418	71.52806889	67.88644666	74.49642576	79.26521256	73.36249159	75.7287226	78.44139378	80.492097	79.13297979	72.62740098	65.63584059	52.22728195	62.41605429	69.77761484
ENSG00000006625	GGCT	123.4594707	87.26695274	92.86923043	82.766874	76.12950972	67.50381216	82.32953458	60.97637405	146.9316823	128.5812588	138.164656	114.1855309	88.82681138	112.4792423	129.5725684	86.67246488
ENSG00000006634	DBF4	57.10000521	43.89976611	38.69551268	33.01869974	38.15162103	37.89324425	37.58724237	32.84856279	43.08439417	42.59325759	46.76733661	32.42010897	34.46286125	33.83739394	57.77435405	28.63959709
ENSG00000006652	IFRD1	45.42922712	35.07416322	34.41555446	32.31430081	39.64571912	41.04066126	39.77092641	38.48723824	44.64099164	47.11592876	44.42642531	41.79651304	50.85833827	48.61617667	72.88456973	44.84357966
ENSG00000006695	COX10	30.57550955	26.09639476	24.5657876	23.59736408	21.43857029	22.94301346	21.92976316	23.07922975	31.57669147	36.81110837	32.72186882	31.94334266	31.92803421	32.43307522	25.47997153	32.5335774
ENSG00000006704	GTF2IRD1	28.06773905	32.94384528	32.77392665	33.98724826	40.02793026	40.33663377	41.35061274	40.78204802	26.8513063	28.45275406	25.90269242	32.26118687	34.7325237	33.90426626	20.44323297	36.0507209
ENSG00000006712	PAF1	83.62450088	100.2771087	95.68344954	93.68505738	99.30540337	94.75381731	91.06427076	90.61220315	109.7957142	115.6429843	101.7787521	110.2919393	101.9324065	122.1757287	81.08161483	125.1098189
ENSG00000006715	VPS41	42.92145662	36.86210863	32.3635197	37.5092429	38.4990857	41.86892889	39.02754461	35.53676853	33.46684554	34.63564629	39.79549209	27.89082904	42.12127486	36.31166978	56.19420078	37.36964971
ENSG00000006740	ARHGAP44	21.12314382	27.04742955	26.03152671	29.32060536	29.46500422	32.71657154	32.80172202	33.17639276	21.681179	22.61335584	22.95110861	21.77232808	27.45163752	20.46292993	25.97376943	28.01153575
ENSG00000006744	ELAC2	114.1035577	131.47105	144.1700995	144.8420295	134.4340817	131.28042	137.9437857	139.9178303	127.9189561	132.2451949	123.3049582	133.4945664	144.8087362	161.9647591	107.4504226	170.9582967
ENSG00000006747	SCIN	0.868074404	1.255365929	1.407109552	1.232698123	1.494098091	1.408054978	1.393840879	0.983489904	2.056932367	1.202229045	0.814230017	1.11245472	1.078649804	1.471191041	0.790076637	0.816479742
ENSG00000006756	ARSD	38.77399003	52.91557596	46.90365173	53.09406917	52.8146302	51.72531373	52.5942625	54.55090667	46.64233124	49.46313785	49.51536292	50.37830659	47.24486143	49.68613379	37.82491898	50.74735625
ENSG00000006757	PNPLA4	32.21520564	37.39468812	35.35362749	33.28284933	34.81596017	30.93579612	35.6823265	33.70092071	43.47354354	40.87578752	38.77770457	35.91639523	39.85611027	53.36411139	32.29438252	34.73179209
ENSG00000006831	ADIPOR2	78.31960174	83.19652382	89.41008612	82.15052494	87.97805505	83.82068454	82.74768685	86.54711155	91.45010118	96.97980962	94.39979262	84.46709764	92.17062577	86.46590981	77.92130829	82.0876171
ENSG00000006837	CDKL3	0.964527115	1.141241753	1.055332164	0.44024933	1.285619288	0.828267634	1.579686329	0.786791923	1.5010047	2.289960085	1.526681282	0.794610514	1.887637157	1.872424961	0.493797898	2.072602421
ENSG00000007047	MARK4	6.076520825	8.939727068	8.970323394	11.62258231	10.11122197	12.34118774	9.385195252	12.06414282	8.894842668	6.755382252	6.208503881	8.979098808	9.276388317	8.024678405	5.135498138	10.73984891
ENSG00000007080	CCDC124	94.13784643	102.3693853	99.08396429	106.9805871	92.70357459	85.02167261	86.51105722	93.36597488	135.5907579	148.2176665	111.091508	172.1920984	94.86725028	135.3495758	59.9470648	122.2835428
ENSG00000007168	PAFAH1B1	145.7400471	124.3192683	128.3401171	119.2195185	139.2985872	148.7154537	142.3111537	139.9833963	141.0388491	133.905416	146.9176287	119.1915771	144.0536814	129.331067	167.496247	153.8750282
ENSG00000007202	KIAA0100	275.0831332	417.6564403	401.3779997	380.7276204	389.6468836	430.6163428	393.7135869	412.6067977	186.1801756	186.0020079	174.9067856	172.6688647	396.0802081	322.5920719	312.9691077	346.1874105
ENSG00000007255	TRAPPC6A	8.777196747	10.1570516	10.67058077	13.20747989	11.08412305	8.117022812	9.71042479	9.83489904	12.5083725	14.94198956	10.27965397	20.18310706	10.73256555	15.38063361	6.123093934	12.31000226
ENSG00000007341	ST7L	28.45354989	26.8191812	28.66985712	24.12566327	28.3183708	26.09043047	24.67098356	24.19385164	33.1888817	31.65869818	30.8389619	29.48005007	32.14376417	32.96805378	40.49142763	32.84760807
ENSG00000007376	RPUSD1	43.40372018	55.35022503	62.44048637	83.0310236	49.30523701	52.71923489	48.55212395	65.17259764	54.53650411	55.18803806	43.35774841	98.84954794	44.33250695	53.49785603	14.41889862	45.91128393
